x y z
0.161616 0.202020 0.624826
0.161616 0.252525 0.566927
0.161616 0.303030 0.507581
0.161616 0.353535 0.446941
0.161616 0.404040 0.385161
0.161616 0.454545 0.322399
0.161616 0.505051 0.258815
0.161616 0.555556 0.194571
0.161616 0.606061 0.129830
0.161616 0.656566 0.064759
0.161616 0.707071 -0.000478
0.161616 0.757576 -0.065714
0.161616 0.808081 -0.130781
0.161616 0.858586 -0.195516
0.161616 0.909091 -0.259752
0.161616 0.959596 -0.323325
0.161616 1.010101 -0.386074
0.161616 1.060606 -0.447838
0.161616 1.111111 -0.508460
0.161616 1.161616 -0.567786
0.161616 1.212121 -0.625663
0.161616 1.262626 -0.681945
0.161616 1.313131 -0.736488
0.161616 1.363636 -0.789152
0.161616 1.414141 -0.839804
0.161616 1.464646 -0.888315
0.161616 1.515152 -0.934560
0.161616 1.565657 -0.978422
0.161616 1.616162 -1.019788
0.161616 1.666667 -1.058554
0.161616 1.717172 -1.094620
0.161616 1.767677 -1.127895
0.161616 1.818182 -1.158293
0.161616 1.868687 -1.185738
0.161616 1.919192 -1.210158
0.161616 1.969697 -1.231493
0.161616 2.020202 -1.249686
0.161616 2.070707 -1.264693
0.161616 2.121212 -1.276475
0.161616 2.171717 -1.285001
0.161616 2.222222 -1.290251
0.161616 2.272727 -1.292209
0.161616 2.323232 -1.290873
0.161616 2.373737 -1.286244
0.161616 2.424242 -1.278336
0.161616 2.474747 -1.267167
0.161616 2.525253 -1.252766
0.161616 2.575758 -1.235171
0.161616 2.626263 -1.214426
0.161616 2.676768 -1.190584
0.161616 2.727273 -1.163706
0.161616 2.777778 -1.133859
0.161616 2.828283 -1.101122
0.161616 2.878788 -1.065576
0.161616 2.929293 -1.027313
0.161616 2.979798 -0.986429
0.161616 3.030303 -0.943031
0.161616 3.080808 -0.897227
0.161616 3.131313 -0.849135
0.161616 3.181818 -0.798878
0.161616 3.232323 -0.746583
0.161616 3.282828 -0.692385
0.161616 3.333333 -0.636421
0.161616 3.383838 -0.578833
0.161616 3.434343 -0.519770
0.161616 3.484848 -0.459381
0.161616 3.535354 -0.397820
0.161616 3.585859 -0.335245
0.161616 3.636364 -0.271815
0.161616 3.686869 -0.207692
0.161616 3.737374 -0.143039
0.161616 3.787879 -0.078022
0.161616 3.838384 -0.012805
0.161616 3.888889 0.052444
0.161616 3.939394 0.117560
0.161616 3.989899 0.182375
0.161616 4.040404 0.246726
0.161616 4.090909 0.310447
0.161616 4.141414 0.373377
0.161616 4.191919 0.435354
0.161616 4.242424 0.496222
0.161616 4.292929 0.555823
0.161616 4.343434 0.614008
0.161616 4.393939 0.670626
0.161616 4.444444 0.725534
0.161616 4.494949 0.778592
0.161616 4.545455 0.829664
0.161616 4.595960 0.878621
0.161616 4.646465 0.925337
0.161616 4.696970 0.969693
